Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
P,"So normally to find like the change in internal energy or the change in enthalpy you do the integral of some function cv of T or cp of T respectively dT um so using that constant heat capacity is where you get the delta T coming out of that equation, but normally it's just the change in - either the change in internal energy with respect to temperature or the change in uh enthalpy with respect to temperature. Depending on which equation you're using.",1,0,0,0,0,0,0,0
G,So we need to do um choose one of the equations that has a measurable thing?,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
G,And then - ,1,0,0,0,0,0,0,0
P,"Well so for cv, um, we're really we're assuming that this is a perfectly insulated system because those totally exist um. ",1,0,0,0,0,0,0,0
G,Yeah that's gonna be listed on our sources of error.,1,0,0,0,0,0,0,0
P,"So our change in energy with respect to temperature is literally how many um Joules we put in over that period of time divided by our change in temperature, which is just going to be one - we can set it as one degree for convenience's sake cause one's a nice number um and honestly in terms of the definition of specific heat, it's often in terms of like how much energy for one degree change.",1,0,0,0,0,0,0,0
D,Mhm.,1,0,0,0,0,0,0,0
P,"Um so - and it does have units that are specific so it's per kilogram as well, so we should be aware of how much mass of gas we have, which can also be calculated from various tables. Um.",1,0,0,0,0,0,0,0
G,Um.,1,0,0,0,0,0,0,0
P,"So we're looking for - we don't have to measure the specific um the specific internal energy prior to doing the experiment because we're only interested in the change, so basically we're just - if we're perfectly insulated we're only interested in what we're pumping into this in terms of internal energy, and all of - we're assuming that all of the heat dissipated by the resistor becomes internal energy in the system, um, which I think is a fair assumption.",0,0,1,0,0,0,0,0
G,Um. Let's say we use like the Q equals m c delta T. We can measure the mass. We can measure the temperature. We're looking for c. But how would we then get Q?,1,0,0,0,0,0,0,0
P,"So... I guess the issue with that um - I mean it works too cause since it's such a small delta T uh... I just know you're - that's to measure the um the average specific heat over a particular range, but it's not constant in reality. It's like some function of something, but um so like I guess if the goal of the experiment is to measure it at a specific small interval, um then I think we really just need to measure that energy. Cause we're just like in a conservation of energy - ",1,0,0,0,0,0,0,0
G,What's the equation you're looking at?,1,0,0,0,0,0,0,0
P,Just the dU d big T. So that we're not like averaging it. We're like looking at it at the specific temperature - ,1,0,0,0,0,0,0,0
G,Oh delta U is equation to cv delta T? Big T?,1,0,0,0,0,0,0,0
P,Yeah. So we're literally looking at what - we're trying to measure what that range of change is at this particular temperature cause there is gonna be variability based on temperature. Cause you remember where the like - the annoying functional form from the table in the back?,1,0,0,0,0,0,0,0
G,Yeah but you still need to figure out a way to get U.,1,0,0,0,0,0,0,0
P,U so delta U. That's different. We don't really care about what the initial state is if we're only interested in the change - ,1,0,0,0,0,0,0,0
D,In the change yeah.,1,0,0,0,0,0,0,0
P,"- and we only have one input for energy. And that's the resistive heat. And we're saying it's totally insulated. So all of that heat that is dissipated by the resistor is going into the - is being added to the internal energy of the system. And based on our simplified assumptions, we're saying nothing leaves, so just that change in energy.",0,0,1,0,0,0,0,0
G,Ok.,1,0,0,0,0,0,0,0
P,Unless you guys disagree. It's just what makes sense to me. ,1,0,0,0,0,0,0,0
D,I'm just staring at the equation for a second hold on.,1,0,0,0,0,0,0,0
P,Yeah.,1,0,0,0,0,0,0,0
G,I feel like if we go with that method though then we have to do cv because we don't have a way to measure h.,1,0,0,0,0,0,0,0
P,Right.,1,0,0,0,0,0,0,0
G,"And so then if we wanted cp, then we would have to do cp.",1,0,0,0,0,0,0,0
P,Plus R.,1,0,0,0,0,0,0,0
G,Plus R.,1,0,0,0,0,0,0,0
P,Or minus R.,1,0,0,0,0,0,0,0
G,Whatever the equation is. ,1,0,0,0,0,0,0,0
P,Um. Well I'm sure there's ways - there's ways to measure change in enthalpy. That's in there too. ,1,0,0,0,0,0,0,0
D,Mhm. ,1,0,0,0,0,0,0,0
P,Um. But we might be able to do a sneaky work-around like we did with that where we don't care about the current enthalpy of the system we only care about how it changes.,1,0,0,0,0,0,0,0
G,Yeah...,1,0,0,0,0,0,0,0
P,"But just thinking - so for the p oh cause the enthalpy is literally just the internal energy plus the boundary work, right? So since that version has the piston removed, we can just measure the distance the piston moves and - ",1,0,0,0,0,0,0,0
G,Then we get the boundary work.,1,0,0,0,0,0,0,0
P,Yeah. ,1,0,0,0,0,0,0,0
G,Because the integral was...,1,0,0,0,0,0,0,0
P,Yada yada yada.,1,0,0,0,0,0,0,0
G,Ok.,1,0,0,0,0,0,0,0
D,Ok.,1,0,0,0,0,0,0,0
P,Yeah so we have both. We can measure both. ,1,0,0,0,0,0,0,0
G,We're kind of basing it on - yeah I mean we're not independently measuring both though.,1,0,0,0,0,0,0,0
P,"We're still making pretty drastic assumptions, but I feel like it's better than assuming constant cp and cv. ",1,0,0,0,0,0,0,0
G,Yeah.,1,0,0,0,0,0,0,0
P,Cause then you can do this at various temperatures and see how it plots.,1,0,0,0,0,0,0,0
D,Mhm.,1,0,0,0,0,0,0,0
G,Yeah. Ok. So there we go. We made a system. ,1,0,0,0,0,0,0,0
P,Great.,1,0,0,0,0,0,0,0
D,Ok.,1,0,0,0,0,0,0,0
G,Great. Done.,1,0,0,0,0,0,0,0
D,Now we just gotta write it.,1,0,0,0,0,0,0,0
P,Now we just have to write it down. You guys are ok with that though?,1,0,0,0,0,0,0,0
R,Yeah.,1,0,0,0,0,0,0,0
D,Yeah it makes sense it makes sense. ,1,0,0,0,0,0,0,0
R,We just have to state compared to our assumptions of what we're assuming.,1,0,0,0,0,0,0,0
R,Ok. Read through this carefully one more time. ,1,0,0,0,0,0,0,0
G,"Do we need to like - if we look stuff up, do we need to cite our sources?",1,0,0,0,0,0,0,0
D,Probably.,1,0,0,0,0,0,0,0
P,"Probably not a bad idea. We used the textbook to look at equations. Um. So oh also for the first problem, um, it says what are the sources of error in your system, and how can you minimize that, so I guess we haven't addressed that. ",1,0,0,0,0,0,0,0
G,Well wait until Dennis writes down the - ,1,0,0,0,0,0,0,0
D,I guess...,1,0,0,0,0,0,0,0
P,One thing at a time.,1,0,0,0,0,0,0,0
G,We'll hit that after you finish writing down all the stuff. ,1,0,0,0,0,0,0,0
D,Ok. This will have a locking mechanism.,0,0,1,0,0,0,0,0
P,Coronavirus planning.,1,0,0,0,0,0,0,0
R,Can I throw your guys' trash away?,1,0,0,0,0,0,0,0
D,Uh yes please. Thank you.,1,0,0,0,0,0,0,0
R,Can I take yours?,1,0,0,0,0,0,0,0
G,Oh. Thanks.,1,0,0,0,0,0,0,0
D,This allow us to have a testable...,1,0,0,0,0,0,0,0
D,Constant pressure when disengaged and constant volume engaged.,0,0,1,0,0,0,0,0
D,In the form of a resistive wire.,0,0,1,0,0,0,0,0
D,"Our control volume will be held by some pressure-controlled container in a piston. The piston will have a locking mechanism preventing it from moving when engaged. This allows us to have a testable method for both constant pressure when disengaged and constant volume when engaged. A resistor will run through the chamber in the form of a resistive wire, which will heat up and add energy to the system. Multiple thermometers will be placed in the control volume to determine the temperature at various positions. ",0,0,1,0,0,0,0,0
G,Um and then say - ,1,0,0,0,0,0,0,0
D,So I'm missing - ,1,0,0,0,0,0,0,0
G,We're gonna use - so that will then measure delta U and T and from that we can use the equation delta U is equal to cv um.,1,0,0,0,0,0,0,0
D,Delta U is equal to...,1,0,0,0,0,0,0,0
G,cv delta T. ,1,0,0,0,0,0,0,0
D,Ok.,1,0,0,0,0,0,0,0
G,This one. And then from there we can measure...here can I just...,1,0,0,0,0,0,0,0
D,I'll be neat about it.,1,0,0,0,0,0,0,0
P,"Cause really the internal energy is part of the enthalpy, so it's similar we just have to include the boundary portion the p times E or just a more simple kinetic measure of work. ",1,0,0,0,0,0,0,0
G,"Um. We're assuming that um all of the energy from the resistor goes into internal energy, right?",0,0,1,0,0,0,0,0
P,Yes.,1,0,0,0,0,0,0,0
D,So in terms of errors um the temperature not being constant throughout the entire thing. ,1,0,0,0,0,0,0,0
P,Right and so - ,1,0,0,0,0,0,0,0
D,So part of the method would just have to be to wait after.,1,0,0,0,0,0,0,0
P,"So I think basically the way this experiment is set up is that it allows you to measure that specific heat at different temperatures, so it's really more an issue of what your resolution is. Like how fine can you measure differences in temperature in order to - ",1,0,0,0,0,0,0,0
D,Right ok.,1,0,0,0,0,0,0,0
P,So that's definitely a source of error. Um. ,1,0,0,0,0,0,0,0
D,So it doesn't necessarily matter that like it doesn't get to exactly one degree. It's more a matter of this thermometer has a slightly different measurement than this thermometer. ,1,0,0,0,0,0,0,0
P,Um and then obviously um you can't really have a perfectly insulated thing especially - ,1,0,0,0,0,0,0,0
D,Yeah exactly.,1,0,0,0,0,0,0,0
P,Like a you know a piston surface and a wire running through it with thermometers reading out things. Like clearly there's gonna be - you're gonna be losing heat somehow.,0,0,1,0,0,0,0,0
D,Yup.,1,0,0,0,0,0,0,0
P,Um.,1,0,0,0,0,0,0,0
D,Can we assume the same for pressure - that we're not gonna have a perfectly...?,1,0,0,0,0,0,0,0
P,"Yeah that like it's gonna be close to air pressure if that piston's like loose enough, but like there's gonna be some effort done by gravity - ",0,0,0,0,0,1,0,0
D,Right.,1,0,0,0,0,0,0,0
P,"- or something to push down on that. It's not gonna be always perfect. And there's gonna be an in between period where it's transitioning, so if we wanna get into minutia.",0,0,1,0,0,0,0,0
D,Mhm. ,1,0,0,0,0,0,0,0
P,Although I guess you can just measure before and after it's reached its final position.,1,0,0,0,0,0,0,0
D,Mhm.,1,0,0,0,0,0,0,0
P,Um. ,1,0,0,0,0,0,0,0
G,Um this works because of the specific heat's dependence on temperature.,1,0,0,0,0,0,0,0
P,Yes. And from there you can get a big 'ol graph and make a Taylor expansion and get a function format of it which is - ,1,0,0,0,0,0,0,0
G,Fuck Taylor expansions. ,1,0,0,0,0,0,0,0
P,We don't use the T word in this class.,1,0,0,0,0,0,0,0
G,Oh I forgot that they were recording it. It's fine.,1,0,0,0,0,0,0,0
P,Hey it's fuckin' ok alright.,1,0,0,0,0,0,0,0
D,Sorry transcriber.,1,0,0,0,0,0,0,0
P,We're all adults here. We can use colorful language responsibly.,1,0,0,0,0,0,0,0
G,"Um ok so then we needed... discuss the experiment conducted, what measurements need to be taken, um we're assuming that it's um completely insulated, which is impossible.",1,0,0,0,0,0,0,0
D,Mhm. ,1,0,0,0,0,0,0,0
P,Uh what else are we assuming?,1,0,0,0,0,0,0,0
D,No...wait no that's just assumes...,1,0,0,0,0,0,0,0
P,"That the dissipation of heat within the control volume is relatively even, which is - ",1,0,0,0,0,0,0,0
D,Yeah I guess mhm.,1,0,0,0,0,0,0,0
P,"For anyone that owns an oven, no.",1,0,0,0,0,0,0,0
D,Nope.,1,0,0,0,0,0,0,0
P,It's hotter in some portions than others. ,1,0,0,0,0,0,0,0
D,What was the assumption about the wire? We're only adding energy to the system not - ,0,0,1,0,0,0,0,0
G,I already talked about that.,1,0,0,0,0,0,0,0
D,Ok ok. ,1,0,0,0,0,0,0,0
P,So it's - cause like obviously you're gonna lose some you know efficiency as it - it's gonna dissipate in the battery or whatever source itself and then whatever wire is actually outside of it is gonna have some resistive dissipation.,0,0,1,0,0,0,0,0
D,Yup.,1,0,0,0,0,0,0,0
P,But I guess what we're saying is that the resistive dissipation in the resistor is so much bigger than everything else that's going on that it doesn't really matter comparatively. ,0,0,1,0,0,0,0,0
D,Yeah yeah. ,1,0,0,0,0,0,0,0
P,Um. I don't know if they want us to like go into how much energy we're pouring into the room. I guess we're pouring energy in until we reach that one degree change or however small we wanna make our resolution.,0,0,1,0,0,0,0,0
D,Right.,1,0,0,0,0,0,0,0
G,Um...I kind of hate that you write in pen. ,1,0,0,0,0,0,0,0
D,It kind of forces you to think about what you're gonna write before you actually write it. ,1,0,0,0,0,0,0,0
G,Yeah I don't.,1,0,0,0,0,0,0,0
D,"Also whenever I write in pencil, I tend to like smudge just by like dragging it across cause I write so thick. So it doesn't really make a difference for me just because I write so thick that like erasing it still leaves the marks behind. ",1,0,0,0,0,0,0,0
P,Do you want a pencil?,1,0,0,0,0,0,0,0
G,No I have a pencil.,1,0,0,0,0,0,0,0
D,It's too late we already started...,1,0,0,0,0,0,0,0
G,I have a pencil. It's just too late now. No I just lose my pencils a lot. ,1,0,0,0,0,0,0,0
P,I have one really nice one that I've made an effort not to lose. A 10-dollar drafting pencil.,1,0,0,0,0,0,0,0
G,Wow. Um...,1,0,0,0,0,0,0,0
R,I try to buy the fancy mechanical ones they just - it lasts me two days max.,1,0,0,0,0,0,0,0
G,There. I think we discussed that whole thing. ,1,0,0,0,0,0,0,0
P,Yeah. Pretty thorough.,1,0,0,0,0,0,0,0
D,You can barely tell where one person started and one person stopped. ,1,0,0,0,0,0,0,0
G,That's why I was like you should write cause I have really bad handwriting. It's fine.,1,0,0,0,0,0,0,0
D,"To be fair though, kinda lose the balance between like - ",1,0,0,0,0,0,0,0
P,Do you think they wanted us to get into nitty gritty details about like what range of - ,1,0,0,0,0,0,0,0
G,Ok well they also said this is only supposed to take half an hour and it's already been - ,1,0,0,0,0,0,0,0
D,Half an hour.,1,0,0,0,0,0,0,0
P,Thirty-two minutes.,1,0,0,0,0,0,0,0
G,"Or it's only supposed to take an hour, and it's already been half an hour, and so now we should move on to the second problem.",1,0,0,0,0,0,0,0
D,Fair enough. I mean we have an entire page worth so.,1,0,0,0,0,0,0,0
R,Yeah I think we're done. ,1,0,0,0,0,0,0,0
P,That's why you're the leader. Um...,1,0,0,0,0,0,0,0
G,Ok. I'd also like to make it to my next class on time. ,1,0,0,0,0,0,0,0
P,That is also...,1,0,0,0,0,0,0,0
D,What time is it?,1,0,0,0,0,0,0,0
G,It's 12:30.,1,0,0,0,0,0,0,0
P,Ok twenty minutes let's go.,1,0,0,0,0,0,0,0
D,We're fine.,1,0,0,0,0,0,0,0
G,We're fine. ,1,0,0,0,0,0,0,0
D,Got plenty of time. ,1,0,0,0,0,0,0,0
