Student,Text,No evidence,Target phenomena,Set-up conditions,Entities,Activities,Properties,Organization,Chaining
M,I think you measure the -,1,0,0,0,0,0,0,0
C,Resistance heater,1,0,0,0,0,0,0,0
M,- the work of the resistance heater.,1,0,0,0,0,0,0,0
C,Resistance heater to find electrical work. Use resistance heater. Ok so that's another item we need. The resistance heater.,0,0,1,0,0,0,0,0
S,What like is a resistance heater? It's just like a heater?,1,0,0,0,0,0,0,0
C,Use resistance heater.,0,0,1,0,0,0,0,0
S,With resistance?,0,0,1,0,0,0,0,0
M,A picture in my mind is just a hot wire.,0,0,1,0,0,0,0,0
L,That's what I think of too.,1,0,0,0,0,0,0,0
C,I didn't know what it was.,1,0,0,0,0,0,0,0
M,But I don't know how accurate that is.,1,0,0,0,0,0,0,0
C,Ok so use the resistance heater to measure the like energy kind of as -,1,0,0,0,0,0,0,0
M,To add work.,1,0,0,0,0,0,0,0
C,To add work and then -,1,0,0,0,0,0,0,0
L,Yeah we just need to know how much work it's adding.,1,0,0,0,0,0,0,0
S,It's just adding energy.,1,0,0,0,0,0,0,0
C,To add a certain amount of work.,1,0,0,0,0,0,0,0
S,Is it adding work or just like?,1,0,0,0,0,0,0,0
L,Oh yeah just adding heat.,1,0,0,0,0,0,0,0
M,I think it depends where you draw the boundary thing. It would be easier if it was work.,1,0,0,0,0,0,0,0
C,Ok we'll do work.,1,0,0,0,0,0,0,0
L,"I don't think it matters at all. Cause they're both joules, so we'll treat it the same way.",1,0,0,0,0,0,0,0
S,Yeah but I just don't wanna write the wrong thing.,1,0,0,0,0,0,0,0
L,Oh yeah. Yeah no I don't really know what it actually is.,1,0,0,0,0,0,0,0
C,Yeah these problems are kinda confusing.,1,0,0,0,0,0,0,0
M,Ok. And then measure the change in temperature.,1,0,0,0,0,0,0,0
C,"Ok. And based off of that, we can -",1,0,0,0,0,0,0,0
M,I don't know if we can do anything with the -,1,0,0,0,0,0,0,0
C,Change in temperature,1,0,0,0,0,0,0,0
M,- integral.,1,0,0,0,0,0,0,0
L,I don't really know if we have to use an integral.,1,0,0,0,0,0,0,0
M,So then we just do the average?,1,0,0,0,0,0,0,0
L,The average what?,1,0,0,0,0,0,0,0
M,Like the average specific heat?,1,0,0,0,0,0,0,0
S,Oh yeah I think yeah.,1,0,0,0,0,0,0,0
M,Sounds good.,1,0,0,0,0,0,0,0
C,So. Should I change this to like the average?,1,0,0,0,0,0,0,0
M,Yeah.,1,0,0,0,0,0,0,0
C,So that equals what like c.,1,0,0,0,0,0,0,0
M,c average change in T. Pretty much. Yeah.,1,0,0,0,0,0,0,0
L,Trying to remember what sources of work are.,1,0,0,0,0,0,0,0
C,Now that you have - Do you have delta U now? Because the -,1,0,0,0,0,0,0,0
M,I think we use -,1,0,0,0,0,0,0,0
C,resistance heater?,1,0,0,0,0,0,0,0
M,We equal these two equations.,1,0,0,0,0,0,0,0
C,Ok. So like just set this equal to.,1,0,0,0,0,0,0,0
M,I think we can say that it's just U for a closed system.,1,0,0,0,0,0,0,0
C,Ok set the equations equal to each other.,1,0,0,0,0,0,0,0
M,Yes.,1,0,0,0,0,0,0,0
C,Set equations...,1,0,0,0,0,0,0,0
M,So. Yeah.,1,0,0,0,0,0,0,0
C,Equal to. Ok so then you have c average delta T. Yes equals like q minus w or delta E.,1,0,0,0,0,0,0,0
M,"Q minus w yeah. If we insulate the system, we don't have to worry about w. How do we feel about that?",1,0,0,0,0,0,0,0
S,Yeah. Feel great about that.,1,0,0,0,0,0,0,0
M,About q.,1,0,0,0,0,0,0,0
S,q yeah.,1,0,0,0,0,0,0,0
C,System is insulated. Therefore...,1,0,0,0,0,0,0,0
L,Yeah and then the w will just be like measured from our experiment somehow.,1,0,0,0,0,0,0,0
C,Yeah. Oh from the resistance heater. Ok.,1,0,0,0,0,0,0,0
L,Yeah they can like - digital and gives us.,1,0,0,0,0,0,0,0
C,Using.,1,0,0,0,0,0,0,0
S,"Read the number that it gives us, cause it knows.",1,0,0,0,0,0,0,0
L,It knows everything.,1,0,0,0,0,0,0,0
C,New equation.,1,0,0,0,0,0,0,0
L,Hi.,1,0,0,0,0,0,0,0
S,We're doing this like group homework and they record us talking.,1,0,0,0,0,0,0,0
L,Yeah. Do you want to say something to the whoever listens to this?,1,0,0,0,0,0,0,0
S,Oh really boat. Everybody's boat.,1,0,0,0,0,0,0,0
C,Equation and.,1,0,0,0,0,0,0,0
S,Stop lifting boats.,1,0,0,0,0,0,0,0
C,...used for change...,1,0,0,0,0,0,0,0
M,And then we need to talk about sources of error.,1,0,0,0,0,0,0,0
C,Ok.,1,0,0,0,0,0,0,0
M,And how to minimize them.,1,0,0,0,0,0,0,0
S,Um so we just have to make sure it's like fully insulated as much as it can be.,1,0,0,0,0,0,0,0
L,[E’s name]. He stopped it. Stop it.,1,0,0,0,0,0,0,0
S,Um so like just making sure it's like completely insulated like the only gas in the container is nitrogen. Repeated trials.,0,0,0,1,0,0,0,0
M,Ooh.,1,0,0,0,0,0,0,0
L,Oh oh that's good. That's always good. Someone's hacking in the stairwell. Just guess who was coughing in the stairs.,1,0,0,0,0,0,0,0
S,Who was coughing in the stairs?,1,0,0,0,0,0,0,0
L,[indistinguishable],1,0,0,0,0,0,0,0
S,That's so good. Recorded also.,1,0,0,0,0,0,0,0
L,Oh my god.,1,0,0,0,0,0,0,0
C,Repeated trials. Oh that minimizes error right.,1,0,0,0,0,0,0,0
S,Do we need to say in our procedure that like also that we're gonna like find cp too?,1,0,0,0,0,0,0,0
M,This would be - I think those are - Oh yeah we could do that. Yeah we should probably mention that.,1,0,0,0,0,0,0,0
L,Yeah.,1,0,0,0,0,0,0,0
S,Yeah like we could just add to the equation like cp equals cv plus R.,1,0,0,0,0,0,0,0
M,I think these are minimizing the error.,1,0,0,0,0,0,0,0
C,Yeah I'll just switch this for now.,1,0,0,0,0,0,0,0
M,Yeah.,1,0,0,0,0,0,0,0
S,Ok.,1,0,0,0,0,0,0,0
M,If it's an ideal gas it's eas - it's one equation.,1,0,0,0,0,0,0,0
S,Yeah cp equals cv plus R. And we have R.,1,0,0,0,0,0,0,0
C,Yeah.,1,0,0,0,0,0,0,0
S,So. I just - I don't know if we wanna like add this just to like equations we need.,1,0,0,0,0,0,0,0
L,Oh we included that thing. I don't know.,1,0,0,0,0,0,0,0
C,cp equals cv plus R. That's the worst R I've ever drawn. Alright. cp equals cv plus R. Perfect.,1,0,0,0,0,0,0,0
S,Yeah and that's like...,1,0,0,0,0,0,0,0
C,Ok and then sources of error.,1,0,0,0,0,0,0,0
S,Like unaccounted for heat loss. We kind of already talked about insulating.,1,0,0,0,0,0,0,0
M,Yeah.,1,0,0,0,0,0,0,0
L,Like the accuracy of the barometer and thermometer.,0,0,1,0,0,0,0,0
S,Yeah. Also like the fact that we're finding an average.,1,0,0,0,0,0,0,0
M,Mm.,1,0,0,0,0,0,0,0
L,Mhm.,1,0,0,0,0,0,0,0
M,Also the temperature's probably not consistent over the -,1,0,0,0,0,0,0,0
L,Mhm.,1,0,0,0,0,0,0,0
S,Being recorded.,1,0,0,0,0,0,0,0
L,Just doing some thermo.,1,0,0,0,0,0,0,0
S,Yeah would you like to say anything to the - again I don't know who listens to this.,1,0,0,0,0,0,0,0
L,Do we think it's the engineering education professor?,1,0,0,0,0,0,0,0
S,They like record us doing a group problem.,1,0,0,0,0,0,0,0
C,...listens to it....,1,0,0,0,0,0,0,0
L,I always forget it's recording and then I say bad things.,1,0,0,0,0,0,0,0
S,Um is that enough sources of error?,1,0,0,0,0,0,0,0
C,What was the third one?,1,0,0,0,0,0,0,0
S,Um. I don't know.,1,0,0,0,0,0,0,0
L,Um.,1,0,0,0,0,0,0,0
S,Uh I just - oh the fact that we're finding an average not one at like a specific temperature or point or whatever.,1,0,0,0,0,0,0,0
L,Hey don't.,1,0,0,0,0,0,0,0
M,Ok.,1,0,0,0,0,0,0,0
C,Ok.,1,0,0,0,0,0,0,0
L,I look like a fool.,1,0,0,0,0,0,0,0
C,Is there like a spot to submit these?,1,0,0,0,0,0,0,0
S,What?,1,0,0,0,0,0,0,0
L,Should I turn off the recording?,1,0,0,0,0,0,0,0
C,Uh yeah it's like you have to slide it on the side from hold to like on and then press stop.,1,0,0,0,0,0,0,0
